Afrique du Sud	A rediger	A rediger	v1509742099/t3w2molwz0tykiijhbqy.jpg	v1509742101/le5hw5hpqyfgrwup2v6a.jpg	v1509742103/xwyopq6eck0jfkdybjmy.jpg	v1509742104/jsilzu1467r7h1tc3kqu.jpg
Népal	Le Népal est un pays magnifique qui dispose de 8 des plus hauts sommets du monde. Paradis des trekkeurs et randonneurs, ce pays attire aussi pour son climat montagnard et ses héritages bouddhistes et hindouiste. Le tourisme étant l’industrie la plus importante du pays, les récents tremblements de terre ont fait perdre leur activité à beaucoup de guides de montagnes qui continuent d’expliquer aux touristes hésitants que la plupart des treks sont aujourd’hui praticables en toute sécurité.	Les guides répertoriés vous proposeront la plupart des treks à commencer par l’ascension du mont Everest jusqu’au camp de base à plus de 5000 mètres d’altitude.	v1509813606/o7xlyvmzvghs28ize7ru.jpg	v1509813608/aspgdlrohzqvtgna6lis.jpg	v1509813609/c2wj3wienvj4fv8u7vf1.jpg	v1509813611/iztcpklczsuinicsyo2d.jpg
Birmanie	« La Birmanie, un pays qui est différent de tout ce que tu connais », disait Rudyard Kipling. Un siècle plus tard, ce constat est plus vrai que jamais : de la fabuleuse cité en ruine de Bagan à l’étincelante Paya Shwedagon, le Myanmar vous offre des paysages que l’on ne trouve nulle part ailleurs. Aujourd’hui alors que le pays sort enfin de la dictature, la croissance inégalée du tourisme n’est pas le fruit du hasard.	Le Myanmar est à la fois réputé pour ses sites culturels, ses paysages intérieurs et ses plages parmi les plus longues d’Asie. Allez donc faire un trek au Nord du pays, dans les domaines montagneux de Hsipaw ou Kyaukme, ou visiter les paysages étonnants de Hpa-An au Sud… Les guides et chauffeurs proposés par SoGuide ne manqueront pas de vous faire découvrir ce pays magnifique en vous organisant un voyage sur mesure qui répondra nous l’espèrerons, à toutes vos attentes.	v1509801658/h9rxwnf0kw85xcvetmsg.jpg	v1509801660/uvxbjzdgacauzuzramcg.jpg	v1509801661/sjvy54wnvudnqaekeppw.jpg	v1509801662/h2bxdcopt8bhvtcfmzme.jpg
Argentine	Que vous soyez amoureux de la nature ou plutôt citadin, l’Argentine est faite pour vous. En manque d’espace, pénétrez la Vallée de la lune, ou optez pour les immenses étendues glacées de la Patagonie telle le Perito Moreno. A la recherche de paysages féériques, faites un trek jusqu’aux chutes d’Iguazu, enclave tropicale à la frontière du Brésil. Avide d’expériences culturelles, perdez-vous dans les rues de Buenos Aires, véritable épicentre de la culture latino-américaine…	Nous avons répertorié sur SoGuide à la fois des guides culturels et des guides de randonnée. Tous ne couvrent pas la totalité du pays, dont il est d’ailleurs impossible de faire le tour complet en une quinzaine de jours. Une chose est sûre : entre ses kilomètres de steppe, ses chaleureux habitants et sa stupéfiante richesse culturelle, vous repartirez d’Argentine le cœur serré, et avec de nombreux souvenirs inoubliables.	v1509801242/hsigmhxavloivurfkjtv.jpg	v1509801243/m1qbdgea1vhcvltu40ig.jpg	v1509801245/levsrnxzvf6tptqfrnzu.jpg	v1509801246/gtuonhwkhmumvptgzrtv.jpg
Ouzbékistan	Pays méconnu à bien des égards, l’Ouzbékistan regorge pourtant de richesses naturelles, architecturales et culturelles. Il s’agit d’un carrefour unique : de civilisations, avec la présence historique des grands empires ; de religions, puisqu’il se situe à la croisée de l’Occident et de l’Orient ; de cultures, avec l’empreinte encore visible de la mythique route de la soie. En le traversant, vous éprouverez l’immensité de la région longtemps sous influence soviétique, et vivrez à l’heure des peuples nomades et des yourtes. Cependant, la capitale Tashkent ou des villes mythiques telles Samarcande et Khiva sauront vous étonner par leur authenticité, en dépit d’une récente ouverture sur le monde.	Les guides répertoriés par SoGuide sont ainsi familiers avec cet environnement déroutant et sauront vous faire découvrir les coutumes locales de ce pays dépaysant à tous points de vue ! A leurs côtes, partez à l’aventurer et jouez les Marco Polo !	v1509814096/ouiqrddwgfuv1dbo6dfx.jpg	v1509814097/ib5uo9ni9rqvua5nbujn.jpg	v1509814098/x4v842x7krmilyxcjbwm.jpg	v1509814099/fns2yxrizgfhiytxcrs3.jpg
Cambodge	Ce n’est pas pour rien que l’on surnomme ce pays le « pays du sourire ». Après tant d’atrocités vécues, le peuple cambodgien conserve néanmoins une courtoisie comme nul autre, illustrée dans l’amusant « Tlay Na » (« très cher ») que vous entendrez dès que vous entamerez une négociation.	Le Cambodge est une destination de choix, qui offre un dépaysement complet. Vous y trouverez un pays encore préservé du tourisme de masse et dont l’héritage est très bien conservé… Le temple d’Angkor Wat, plus grand monument religieux au monde, est un incontournable. Mais il ne faut pas oublier ses nombreux autres trésors, tels la capitale Phnom Penh en pleine ébullition culturelle, ou encore les îles et plages désertes de la côte Ouest près de Sihanoukville.	v1509801983/r7oa9726ojagdp32ahpd.jpg	v1509801984/jnmpsgr12y8uqd9gujau.jpg	v1509801986/vcqvpgxbexogzsipx2eq.jpg	v1509801987/p2pxhdqf1gclpwerr0cp.jpg
Sénégal	Les motifs des touristes au Sénégal sont variés, et tous sont justifiés. Certains y vont pour ses sites culturels, tel l’époustouflant Monument de la Renaissance Africaine (de 52m de haut !) ou encore la Grande Mosquée de Dakar. D’autres souhaitent visiter Dakar, ancien comptoir français lors du commerce triangulaire, puis capitale de l’Afrique Occidentale Française à partir de 1895, et aujourd’hui devenue un épicentre de la culture ouest-africaine.	Mais le Sénégal cache aussi de véritables trésors naturels: partez donc explorer le parc national du Djoudj, classé au patrimoine de l’Unesco. Attardez-vous sur les côtes paradisiaques du Lac Rose, ultime étape du rallye Paris-Dakar. Réfugiez-vous sur l’île de Gorée, où baignent une harmonie et un calme étonnants, et où subsistent toujours les vestiges de la période de la traite avec notamment la Maison des Esclaves…	v1509814739/bcrzjdnzldwrobucqelp.jpg	v1509814740/lhjbgxrkk7gyhv5804be.jpg	v1509814741/z11skv6ulebwhiemscvd.jpg	v1509814742/zqftuxas9mto1kp9cpdh.jpg
Brésil	Grâce à la richesse de sa culture et de sa biodiversité, le Brésil demeure l’un des incontournables à visiter ! Vous êtes à la recherche de l’immensité et d’une flore et faune variée ? Partez donc à la découverte de l’Amazonie, véritable poumon de notre planète, ou de l’impénétrable Atlantic Rain Forest. Les impressionnantes chutes d’Iguaçu vous donneront l’impression du vertige, tandis le territoire marécageux du Pantanal ne cessera de vous étonner. Enfin, les villes brésiliennes, mondiales comme pittoresques, vous surprendront par leurs plages, leur inépuisable énergie et leur folie unique !	Les guides répertoriés sur SoGuide sont prêts à vous faire découvrir leur territoire de prédilection : Français expatriés au Brésil ou natifs de « l’éternel pays d’avenir », ils vous emmèneront hors des sentiers battus pour vous faire découvrir cette immense jungle, naturelle comme urbaine !	v1509801770/qfuk8dtalxko19keb10i.jpg	v1509801771/mnwpaoxtfhvzpy7rt5n4.jpg	v1509801773/y75akdqfbtpk7bscajcc.jpg	v1509801775/t8duybqdnfgbtlunqfzr.jpg
Costa Rica	A rediger	A rediger	v1509808980/bhpg0fhq5zvzqpsfk8kc.jpg	v1509808981/yksmcqzqpmqhyvkcvcyl.jpg	v1509808983/yqp7azzhfrt8fbgi1rl7.jpg	v1509808984/qeoj78rgeq2qhy8ikyay.jpg
Cuba	Archipel des Caraïbes épousant la forme d’un crocodile, Cuba constitue un véritable vivier de possibilités et de combinaisons touristiques. Plages de couleur nacre, chaînes de montagnes teintées du vert des forêts tropicales, petites villes dont l’architecture coloniale rappelle la domination subie dans le passé… On comprend facilement pourquoi la péninsule est une des nouvelles destinations touristiques en vogue, pour les Français notamment.	Partez donc à la découverte de ce pays très particulier, curieux mélange entre l’esprit festif des pays latins et une situation sociale et culturelle très marquée par son histoire récente. Les guides de SoGuide connaissent ses spécificités du bout des doigts et travaillent depuis longtemps avec des clients occidentaux : ils sauront vous faire découvrir ses villes et ses paysages en toute sécurité.	v1509809134/d87mocvws4y16qzisi40.jpg	v1509809136/cpvblyjahvq1kxkeyyqx.jpg	v1509809137/bur5q3m7ifmeohl9nn6d.jpg	v1509809139/zl9kqwynsdpesitovdg0.jpg
Mongolie	Dans son ouvrage Le loup mongol, Homeric écrit à propos des steppes mongoles : « Les lendemains, c’était comme si nous avions rêvé : à perte de vue, pas une ombre sur laquelle accrocher le regard ». En effet, il est de coutume de considérer la Mongolie comme un véritable écrin de steppes et de forêts, de montagnes reculées et de plaines arides, imprégné d’une culture discrète mais préservée et ancestrale.	Les guides répertoriés sur SoGuide sauront vous faire découvrir les spécificités locales & la chaleur des yourtes. A cheval comme en voiture, partez explorer les parcs nationaux de Khövsgöl Nuur et Gorkhi-Terelj, ou tout simplement vous perdre dans l’immensité du « pays au ciel bleu ».	v1509812243/dqnthbos2cbijf4m7jo3.jpg	v1509812244/jghryipn2p2jqugsb9ns.jpg	v1509812246/vhcgi8r6gmsiipamfdld.jpg	v1509812247/nfhg4ubbt8vrzissgd3j.jpg
Thailande	Muang Thai, qui selon l’étymologie consacrée signifie « le pays des hommes libres », saura vous étonner par sa grande variété de sites touristiques aussi bien historiques que naturels. Bangkok, elle, ne cesse de surprendre les voyageurs par sa pluralité et son effervescence. Vous vous sentirez aussi dépaysés par les grands et riches espaces de la Thaïlande, tels le parc national d’Erawan.	Nos guides soigneusement sélectionnés se feront un plaisir de vous faire découvrir les îles, telle celle de Ko Tao, plages et rocs jaillis de la mer situés au Sud du pays, tandis que la province de Mae Hong Son, véritable paradis des randonneurs, située au Nord, usera du charme de ses temples bouddhistes, montagnes et forêts pour vous envoûter.	v1509815957/vyi4ja2u1thi1dmdlaxj.jpg	v1509815959/djjht96jtgrx4zgsvhnq.jpg	v1509815960/ygbjvnyyyttmny7yz8rm.jpg	v1509815961/moihufvyoz1esovj39tl.jpg
Inde	Alors que le tourisme indien se développe de plus en plus, près de 250 000 français se décident chaque année pour cette destination atypique. Delhi, capitale historique, regorge de sites représentatifs de la culture et de l’histoire indienne.	En dehors de Delhi, les destinations touristiques ne manquent pas. On notera par exemple, au Nord, la ville d’Agra et le Taj Mahal, symbole de l’Inde, le Temple d’Or à Amritsar ou encore le Palais des Vents de Jaipur. Au Sud, on pensera plus aux plages de Goa, aux temples hindous du Karnataka et du Tamil Nadu, ou aux villes surpeuplées de Bombay et Bangalore ! L’Inde, pays du dépaysement, ne manquera pas de vous surprendre.	v1509809869/s7tcvyrz7oyfjpqkfggn.jpg	v1509809870/so4dyemt9e2hvocnywd1.jpg	v1509809872/swzwoteqly9rce9ss7rn.jpg	v1509809874/haxawrz817skke4edp9c.jpg
Indonésie - Bali	C’est une destination de rêve pour les amoureux de la nature. Les plages de Bali, les sites de plongée de Binaken, l’ascension du mont Bromo à l’est de Java, le lac Toba et les différents parcs de Sumatra ne sont que quelques exemples des activités touristiques proposées. A ces multiples sites naturels s’ajoute un riche héritage culturel que l’on retrouvera notamment dans les temples de Toraja, Yogyakarta, Minangkabau et bien sûr à Bali, où s’organisent chaque année de nombreuses festivités hindoues.	Les guides ci-dessous travaillent la plupart du temps sur un nombre restreint d’îles de l’archipel. Beaucoup d’entre eux se concentrent sur Bali, destination privilégiée chaque année par de nombreux touristes avides d’aventures et de paysages fabuleux.	v1509810092/rb3lthooi3wpqbufxa58.jpg	v1509810093/mjvl7hvjhhxp5r55mqjk.jpg	v1509810095/dldwwpcii3upo6mkysuy.jpg	v1509810097/lml8uda44nhs9d50pxm7.jpg
Jordanie	La Jordanie, à cheval entre le croissant fertile et le désert d’Arabie, est principalement composée d’un plateau désertique aride à l’Est, et d’une région montagneuse à l’Ouest. Berceau de nombreuses grandes civilisations, la Jordanie dispose de plusieurs sites culturels mondialement connus, à commencer par le site de Petra, inscrit depuis 1985 au patrimoine mondial de l’UNESCO.	En plongeant au milieu des réserves naturelles du pays, vous pourrez admirer des paysages et des couchers de soleils inoubliables. Le désert du Wadi Rum vous offrira l’opportunité de découvrir la vie des bédouins et l’histoire de cette région magnifique à dos de chameaux. Ci-dessous, nous répertorions à la fois des chauffeurs pouvant vous accompagner d’un site historique à un autre, des guides culturels mais aussi des bédouins qui vous proposeront des séjours inoubliables en plein cœur du Wadi Rum.	v1509810399/aovzbk0ran7leydt7bai.jpg	v1509810400/awyzudk6w1f8kwykkt3j.jpg	v1509810401/yrkaklhhdlzag8vyh3yp.jpg	v1509810403/ymayl8lc373g4grl9gjy.jpg
Sri-Lanka	Marco Polo en son temps décrivait le Sri-Lanka comme une des plus belles îles au monde. Ce territoire magnifique à la pointe de l’Inde a pourtant été marqué ces dernières années par la guerre civile et le tsunami. Aujourd’hui, alors que le pays relève la tête, le Sri Lanka retrouve son statut de destination de rêve.	Comme le soulignent la plupart des guides de voyage, le Sri Lanka offre une impressionnante diversité d’activités : sites archéologiques de Anurâdhapura et de Dambulla inscrits au patrimoine mondial, parcs nationaux de Bundula, réserve forestière de Sinharâja, surf, etc. Les guides et chauffeurs proposés par SoGuide ne manqueront pas de vous faire découvrir cette île merveilleuse en vous organisant un voyage sur mesure qui répondra, nous l’espèrerons, à toutes vos attentes.	v1509815493/fnd6rwb3ao8arew2nqy3.jpg	v1509815495/hfayaloee6fhoqtqwvb4.jpg	v1509815496/nhsa7u0bykyxrepbhgtx.jpg	v1509815496/howzs40tzhsbqejjpqn7.jpg
Kenya	Amoureux des grands espaces et des animaux sauvages incarnant la liberté ? N’hésitez plus, le Kenya est fait pour vous ! Vous pourrez profiter de l’étendue de ce pays et de sa culture ancestrale, en parcourant ses 50 parcs et réserves naturelles. Situés hors des sentiers battus, ces lieux tels que le parc des Aberdares ou du Meru, vous procureront un sentiment de dépaysement face à une telle grandeur, tandis qu’un passage par le lac Nakuru reflétera la biodiversité kényane.	Ainsi, les guides soigneusement sélectionnés par SoGuide tâcheront de satisfaire vos désirs à travers des safaris inoubliables lors desquels se mêleront aventure et authenticité !	v1509810523/cmhjxquhjyahub32r7ts.jpg	v1509810525/art2u8yaphlyxxctp9td.jpg	v1509810526/uuwlauqlrm6jo97iwkis.jpg	v1509810527/jo0psve2sv9fb71wam9a.jpg
Madagascar	La cinquième île du monde en taille, n’est pas un pays comme les autres. Depuis vingt siècles, l’île est façonnée par des peuples afro-asiatiques d’horizons divers (Europe, Moyen-Orient, Afrique Noire, Indonésie), dont les traditions diverses forment aujourd’hui une société pluriculturelle malgache.	La diversité de ses paysages est remarquable: la savane de l’ouest ne partage rien avec les doux reliefs de l’intérieur, marqués par la latérite rouge. Il y existe aussi des plantes et des animaux uniques au monde, tels les lémuriens. Les guides & chauffeurs répertoriés sur SoGuide sont polyvalents et vous feront découvrir chacun de ces aspects de leur pays… nous vous certifions une expérience unique en son genre.	v1509811547/btvmwwrszqsrdjiehp19.jpg	v1509811548/ippywctkthrjwnp0akxi.jpg	v1509811550/lrvcrldmefvzzip37udq.jpg	v1509811551/ls541flmqia3b1tcm8km.jpg
Maroc	Le Maroc est un pays magnifique qui propose diverses activités culturelles majoritairement regroupées autour des grandes villes que sont Casablanca, Fès, Agadir et Marrakech. On distinguera les régions côtières, l’intérieur des terres, les régions montagneuses du Rif et du Moyen-Atlas et enfin les régions désertiques – Maroc présaharien et saharien.	La plupart des guides répertoriés par Soguide sont des guides de randonnées qui connaissent aussi bien les montagnes et le littoral que le désert. Pour des paysages enneigés inoubliables et souvent méconnus, n’hésitez pas à entreprendre l’ascension du M’goun et du Toubkal à plus de 4000 mètres d’altitude. Vous pouvez aussi choisir de découvrir les paysages désertiques du Sahara à dos de chameau ou profiter du soleil des superbes plages marocaines.	v1509811777/jvxbypeo2ncfdoktllhx.jpg	v1509811779/jp4ce7zdd7xczxvgaruh.jpg	v1509811780/obpfrdeg1fghkfbfiaom.jpg	v1509811781/vn69s28okpseqs4n6fiw.jpg
Tanzanie	La Tanzanie est principalement connue comme étant le meilleur pays pour réaliser un safari en Afrique. C’est aussi un des points de départ privilégiés pour entreprendre l’ascension du Kilimanjaro, la plus haute montagne du continent, culminant à près de 6000 mètres. Voilà au moins deux occasions de faire appel à un guide local pour vous accompagner durant votre séjour !	Avec près de 40% de sa surface protégée sous forme de réserves naturelles, la Tanzanie offre une biodiversité hors du commun. Pour profiter au maximum de ce pays fabuleux, nous vous proposons ci-dessous quelques guides avec qui entrer en contact, que ce soit pour un trek ou un safari.	v1509815824/b2iwc4kjohw9xnkpetsv.jpg	v1509815826/n1z1rla6tzf4qflcwblu.jpg	v1509815827/ufalmhcuadw5duktrdoc.jpg	v1509815828/rd3hstq5own6uig4tmdr.jpg
Vietnam	Pays en forme de dragon et représentant historique de l’Extrême-Orient, le Vietnam est symbolique d’un espace éternel, miraculeusement préservé, intacte et simple. Alors que « l’huître fermée » s’ouvre au monde extérieur, celle-ci demeure faiblement équipée, et chaque déplacement en son sein y fait office de véritable aventure et dépaysement.	Après Hanoi, ville unique par son architecture coloniale et son dynamisme et Hồ Chí Minh-Ville, la grande cité du Sud, vous profiterez notamment de la baie d’Along et du delta du Mékong. Les grands espaces s’ouvriront alors à vous, et vous découvrirez le Vietnam profond, accompagnés des guides répertoriés sur SoGuide : la beauté et la biodiversité des parcs naturels, tels Cuc Phuong ou Yok Don, n’attendent plus que vous.	v1509816121/zmkmqt28x4b0elntopmp.jpg	v1509816122/ryev1yqibpyekf93t0qo.jpg	v1509816123/j9ixkgmq0s6vealw8fym.jpg	v1509816124/jda0bkphi546xszhkn7a.jpg
